gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Tfrc,1.62261776975299e-121,-0.688542483903775,0.529,0.715,2.8728447613476704e-117
Jund,1.82009595064017e-109,-0.660278786516229,0.77,0.851,3.2224798806084203e-105
Tmtc2,1.5052471079094498e-114,-0.588615470245191,0.799,0.899,2.66504000455368e-110
Slc6a6,1.14319850072329e-194,-0.573675116417973,0.885,0.954,2.02403294553059e-190
Frmd5,1.03094493045792e-48,-0.539193186769965,0.252,0.383,1.82528799937574e-44
Cobll1,7.16251034383302e-95,-0.523845280884606,0.631,0.765,1.26812245637564e-90
Ndnf,8.78106809655619e-47,-0.499021903322493,0.249,0.379,1.55468810649527e-42
Grb14,4.22908101775828e-75,-0.469733152002557,0.522,0.679,7.48758794194104e-71
Cldn5,1.0326402350099e-248,-0.452194450329614,0.997,0.998,1.82828953608503e-244
Usp53,4.71933046442491e-61,-0.446280657100278,0.443,0.583,8.3555745872643e-57
Gsta4,1.07639843088349e-51,-0.420542284637863,0.569,0.687,1.90576342187922e-47
Lmo2,3.1023295850117404e-61,-0.419525673671103,0.615,0.732,5.492674530263279e-57
Grrp1,2.1550543342663703e-68,-0.418714811896528,0.563,0.709,3.81552369881861e-64
Fut8,5.13668336136558e-66,-0.413294394840106,0.628,0.759,9.09449789129776e-62
Pcp4l1,1.16290463491707e-87,-0.411297291656761,0.797,0.888,2.0589226561206797e-83
Sema6a,5.00983378130033e-57,-0.409668876902971,0.437,0.591,8.86991070979224e-53
Lrrn3,4.21705208309136e-51,-0.40560283455141,0.247,0.385,7.46629071311326e-47
Adamts1,1.85356428517314e-38,-0.402427083995628,0.279,0.398,3.28173556689904e-34
Jun,5.52696138062295e-31,-0.402061944587686,0.829,0.873,9.78548512439294e-27
Kdr,2.44193114148316e-68,-0.399943399351035,0.749,0.84,4.32343908599593e-64
Bsg,2.26165522825373e-251,-0.398848397906367,1.0,0.999,4.00426058162323e-247
Lmntd1,1.22363140227886e-44,-0.38954290908292,0.185,0.306,2.1664393977347096e-40
Ier3,3.7920926983068997e-34,-0.387239050227924,0.421,0.538,6.713900122352359e-30
Tubb4b,9.937061850853581e-51,-0.377618408271196,0.503,0.632,1.75935680069363e-46
Fosb,7.01414495273767e-58,-0.366853798700362,0.054,0.159,1.2418543638822101e-53
Layn,1.4851658710755e-48,-0.361562674600409,0.42,0.562,2.6294861747391803e-44
Nkd1,3.17833460774934e-37,-0.351851664336175,0.486,0.597,5.6272414230202e-33
Fos,8.70871180725847e-22,-0.350233976204802,0.282,0.37,1.5418774254751102e-17
Ldha,2.27519479030003e-40,-0.342470966080044,0.658,0.75,4.0282323762262e-36
Ifnar1,1.06758508919859e-46,-0.342033143871647,0.552,0.665,1.8901594004261e-42
Apcdd1,3.22011693638472e-54,-0.336324257287761,0.713,0.825,5.70121703586914e-50
Lama4,2.09153889863066e-39,-0.336144111083989,0.157,0.263,3.7030696200255803e-35
Csrp2,1.14698755817161e-39,-0.334107801929052,0.613,0.72,2.0307414717428402e-35
Dipk1a,9.960888875942419e-42,-0.333626780583642,0.215,0.336,1.76357537548561e-37
BC028528,1.7187048689012698e-48,-0.329593855571548,0.66,0.751,3.04296697038971e-44
Dbp,6.21421569030841e-38,-0.329212473079575,0.123,0.222,1.1002268879691e-33
Stox2,3.43146963880828e-28,-0.326603652568691,0.323,0.428,6.07541699551006e-24
Maoa,2.46824276066496e-46,-0.326523016367136,0.619,0.725,4.37002380775731e-42
Cfh,2.40229289521337e-19,-0.325820549878433,0.165,0.238,4.25325957097526e-15
Sgpp2,1.60102863235123e-39,-0.32441320227818,0.38,0.51,2.83462119357785e-35
Prr5l,1.12322133952365e-41,-0.319342839663857,0.176,0.293,1.98866338162663e-37
Tgfb2,1.47895557826057e-27,-0.318447322020582,0.265,0.366,2.6184908513103402e-23
Klf12,6.29464731615919e-35,-0.317500140737493,0.649,0.74,1.1144673073259899e-30
H2afz,1.07853455885453e-41,-0.31367858515988,0.574,0.684,1.90954543645194e-37
Ptprm,1.3341291642042801e-44,-0.312813456024497,0.846,0.896,2.36207568522367e-40
Tnfrsf19,2.84776204679229e-35,-0.31223981284361,0.381,0.495,5.04196270384575e-31
Cxcl12,1.7669888235964802e-31,-0.308856246238552,0.943,0.955,3.12845371217756e-27
Dach1,1.17909969188126e-22,-0.307954856002499,0.387,0.479,2.08759600447578e-18
Itm2a,6.04353156428783e-91,-0.306420840832351,0.988,0.99,1.07000726345716e-86
Ccdc85b,1.20838814433522e-56,-0.306389236500306,0.732,0.827,2.13945120954551e-52
Vim,1.56917000514661e-54,-0.305815750907254,0.904,0.939,2.77821549411207e-50
Vwf,3.86030723721197e-19,-0.305128971885756,0.253,0.33,6.834673963483791e-15
Vwa1,3.25148404254736e-71,-0.304450652501563,0.938,0.954,5.7567524973301e-67
Sox17,1.27070598838531e-43,-0.302809430460511,0.714,0.806,2.24978495243619e-39
Ebf1,1.158721809346e-41,-0.302655421060133,0.834,0.887,2.05151696344708e-37
Gm26532,2.3181056812548303e-31,-0.298756109145217,0.156,0.252,4.10420610866168e-27
Gm9946,2.2204955435424202e-17,-0.294660002753411,0.16,0.223,3.93138735984186e-13
Id2,8.88158705462117e-31,-0.291881953832272,0.198,0.299,1.57248498802068e-26
Glcci1,6.4890732383180794e-34,-0.291805561646407,0.223,0.334,1.14889041684422e-29
Ets1,1.33776086830646e-39,-0.289314212177823,0.759,0.832,2.3685056173365902e-35
H3f3a,3.90871251855964e-81,-0.288008832202827,0.95,0.967,6.92037551410984e-77
Tnfsf10,2.85576958783253e-35,-0.278221459780633,0.278,0.4,5.0561400552575e-31
Xist,2.20486360247474e-16,-0.277072821754636,0.316,0.391,3.90371100818152e-12
Ifnar2,2.30523255454667e-39,-0.275733080270715,0.719,0.801,4.0814142378248804e-35
Hs3st1,8.02004634609911e-34,-0.274710242994105,0.141,0.241,1.41994920557685e-29
Epha4,6.1352420035784995e-27,-0.273764240616459,0.335,0.437,1.08624459673357e-22
Pop5,2.78463965132504e-35,-0.273146533034199,0.444,0.564,4.9302045026709804e-31
Ncoa4,4.33391303654527e-31,-0.272958757170319,0.225,0.331,7.673193031203399e-27
Adgrl2,5.78977955470554e-29,-0.272647526140854,0.581,0.67,1.02508047016062e-24
Icam2,7.836459943563149e-34,-0.27039352505783,0.665,0.747,1.38744523300786e-29
Tek,9.307335471642131e-35,-0.269047344170658,0.793,0.849,1.64786374525424e-30
Hhex,7.52553190334321e-34,-0.267362491261646,0.11,0.201,1.3323954234869099e-29
1810037I17Rik,2.7310336506034197e-36,-0.266974474596595,0.694,0.773,4.83529507839336e-32
Orai1,8.856404889025079e-29,-0.265333230284742,0.286,0.389,1.5680264856018901e-24
Snx3,2.26824533769942e-41,-0.265208808248016,0.813,0.871,4.01592837039683e-37
Ier5,9.88036592740776e-35,-0.26419397527847,0.487,0.608,1.7493187874475397e-30
Gm10076,2.22663777656022e-28,-0.262969404873735,0.418,0.521,3.94226218339987e-24
Apoe,7.30158635260632e-25,-0.262532518784977,0.881,0.907,1.29274586372895e-20
Lrrc49,4.36915413262667e-25,-0.260889115223455,0.261,0.357,7.73558739181552e-21
Dnm3,8.60637084429912e-27,-0.254280887603378,0.725,0.795,1.52375795798316e-22
Alas1,1.4535597877844901e-24,-0.254023305263905,0.684,0.756,2.57352760427244e-20
Ssbp4,8.310743099878259e-30,-0.251715152215233,0.415,0.525,1.4714170658334501e-25
Scd2,3.8884517850905597e-28,-0.251341555352653,0.161,0.252,6.88450388550283e-24
