gene,log2FC_from_dpi1,p_val_adj_from_dpi1,log2FC_from_dpi3,p_val_adj_from_dpi3,log2FC_from_dpi7,p_val_adj_from_dpi7,log2FC_from_ucla,p_val_adj_from_ucla
Akap12,-0.386964768063619,1.1279613891831e-30,0.497370196487868,1.41348901037029e-15,0.652572892581848,1.9064645831466e-45,0.719813172,0.007092288
Cldn5,-0.618341368546214,2.50764835063582e-226,-0.315161310569327,6.33586428362617e-58,-0.482925800840941,3.1844436149458e-126,0.52574526,3.33e-06
Csrp2,-0.987501450758578,3.22771284135799e-112,-0.288479487572969,2.65751232306883e-08,-0.361615813353795,1.10740683076278e-09,-0.47197091,0.00589561
Fosb,-0.739698598550274,3.37596213094703e-10,-1.72129604794494,1.05622589629375e-22,-1.76711193383442,7.02101793078743e-22,0.802745735,1.48e-06
Hspa1b,-1.40037848281503,8.10462958807162e-81,-0.820254769974443,1.5811460047958e-38,1.17603784604257,6.00249931534285e-99,0.804952262,0.007474562
Itm2a,-1.22952171988764,0,-0.359101155879694,2.56379854020484e-55,-0.334062187321992,2.37240259261381e-42,-0.743197752,2.72e-12
Jund,-1.41334687245591,5.71267938829337e-184,-0.538506400921721,2.67328191699804e-23,-0.604164173672897,2.73747806849396e-21,1.046068168,1.42e-12
Rgcc,-0.696006046002968,1.26330507087703e-50,1.23434108022596,1.46946537016933e-116,0.789656778086728,1.28365029570134e-56,-0.262371699,0.003831407
Rps29,-0.651525581426258,4.51007520459543e-193,0.478597862432708,4.91409803069023e-123,0.418046259886393,3.04085437402366e-108,0.340435228,0.000436806
Smad1,0.800780976790766,2.26837968669789e-13,0.448273467862752,0.0016353844495071,0.392268215786784,6.26286052295797e-05,0.945951333,0.005673925
Tmem252,0.508996469316846,0.0150088117178935,0.986511081835204,3.98746159964898e-33,0.718155398670313,1.07550802913446e-21,0.873020985,0.000347377
Tsc22d1,-0.823810501393916,1.64372242453065e-194,0.338584765936173,1.31480578507531e-34,0.272817277316362,5.06976563892312e-26,-0.368929388,8.37e-08
Tsc22d3,-1.52563342303859,3.8027372464235e-187,1.1414699840204,9.71058365545676e-134,0.943247172004642,4.51540534360748e-127,-0.720356245,2.23e-06
Wasf2,0.25402063776611,4.71218266609286e-05,0.35779182316022,1.97489219867385e-22,0.391548089320314,1.01697145699057e-33,-0.340098697,0.00460275
